"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"258",24.06,1,0,1,0,0,0,1,0,0
"259",23.4,1,0,0,0,0,0,1,0,0
"260",25.98,1,0,1,0,0,0,1,0,0
"261",28.12,1,0,1,0,0,1,1,0,0
"262",26.06,1,0,1,0,0,1,1,0,0
"263",22.16,1,0,1,0,0,0,1,0,0
"264",28.56,1,0,1,0,0,0,1,0,0
"265",21.33,1,0,1,0,0,0,1,0,0
"266",22.39,1,0,1,0,0,0,1,0,0
"267",24.73,0,0,0,0,0,0,1,0,0
"268",24.12,0,1,0,0,0,1,1,0,0
"269",27.54,1,0,1,0,0,0,1,0,0
"270",24.1,1,0,1,0,0,0,1,0,0
"271",21.43,1,0,1,0,0,0,1,0,0
"272",26.48,1,0,1,0,0,0,1,0,0
"273",22.73,1,0,1,0,0,0,1,0,0
"274",21.89,1,0,0,0,0,0,1,0,0
"275",20.93,1,0,1,0,0,0,1,0,0
"276",18.22,1,0,1,0,0,0,1,0,0
"277",18.59,1,0,0,0,0,0,1,0,0
"278",13.95,1,0,1,0,0,0,1,0,0
"279",20.27,1,0,1,0,0,0,1,0,0
"280",22.44,1,0,1,0,0,0,1,0,0
"281",29.63,1,0,1,0,0,0,1,0,0
"282",18.99,1,0,1,0,0,0,1,0,0
"283",23.1,1,0,0,0,0,0,1,0,0
"284",21.89,1,0,1,0,0,0,1,0,0
"285",25.84,1,0,1,1,0,1,1,0,0
"286",32.01,1,0,0,1,0,1,1,0,0
"287",47.24,1,0,1,1,0,0,1,0,0
"288",20.54,1,0,0,1,0,1,1,0,0
"289",36.22,1,0,0,0,0,1,1,0,0
"290",22.05,1,0,0,1,0,1,1,0,0
"291",28.26,0,0,1,1,0,0,1,0,0
"292",24.25,1,0,0,0,0,1,1,0,0
"293",31.65,1,0,0,1,0,0,1,0,0
"294",21.33,1,0,0,0,0,0,1,0,0
"295",23.79,0,1,0,0,0,0,1,0,0
"296",23.5,1,0,1,0,0,0,1,0,0
